langle,rangle,lsangle,rsangle,lhangle,rhangle,lkangle,rkangle,class
168.1287291,19.35293025,114.5686501,92.38810655,161.7551787,175.6508405,132.9301937,146.7583385,2
163.9629746,165.4447386,83.11774176,108.8276984,166.989884,177.310028,165.1543876,171.8143703,2
103.4060844,161.0587039,14.3551278,149.3157051,142.868297,168.8648375,142.3764494,143.2137184,2
109.3071547,161.080525,120.4857251,133.5871404,155.5689873,173.3634041,88.01662932,77.03099882,2
163.6432209,29.12805401,127.7939267,119.0348521,178.9520136,166.3180951,125.5432225,122.691772,2
16.40918779,172.0881529,83.5976385,146.6214608,169.9770222,177.9466382,153.8999615,170.0070961,2
168.9935672,51.47333016,136.5176019,105.0303654,175.6356081,165.1446005,104.2820256,98.12499788,2
151.7074002,85.90051569,113.379479,34.68723803,150.8046818,177.0187692,132.9316965,137.9775459,2
142.7512881,153.2260901,30.52006518,108.0667616,143.5147143,179.3509557,169.79697,156.4014941,2
179.2225489,146.1408502,130.9759115,10.57467251,173.0187053,173.2154285,158.2979482,153.8981644,2
172.7572312,46.75249987,167.0936307,60.99450791,171.4350219,173.4080777,138.7214477,134.6821913,2
148.4135413,83.98471455,8.441368682,151.8801703,169.5805877,169.8563799,174.9512404,168.5608443,2
179.7599829,47.05534808,113.8238496,55.01108343,172.3059259,164.4476541,167.7720478,142.213639,2
179.0095119,47.37367534,156.6569537,70.42955889,179.6228899,163.9628851,145.35171,130.7038155,2
177.9171338,45.4176779,146.7249668,44.10167258,169.3302774,173.6735318,155.9738188,158.5283289,2
168.9726867,51.11315466,162.4383826,61.99525695,171.6370776,170.7129102,147.0386293,149.6055444,2
142.6805054,47.95101988,53.73710079,45.65197553,171.404671,163.1186895,168.1800761,155.9413064,2
110.5507751,171.2470648,5.890120107,166.9686346,169.2951374,174.4387709,166.7825312,176.4974359,2
137.2275304,150.2423122,60.90155789,25.71276919,179.7744054,178.3505188,172.2181989,155.3937417,2
165.4973737,18.96778933,172.3270106,27.12724416,168.7813696,177.7180729,139.4655272,139.8995893,2
178.6677478,1.176351899,173.4033104,34.9834833,170.5239547,177.9351293,137.0826121,124.0111067,2
130.983888,171.7623855,1.929635481,162.2766065,176.4380842,177.4094041,173.2010106,177.7969631,2
116.6617192,111.8547489,0.466837816,49.20529018,175.5428571,175.0032901,173.0998126,179.4104801,2
146.367412,77.79129364,16.48037515,129.3870397,179.2962195,172.7934133,173.7003279,178.0737744,2
138.3140566,121.8429313,23.66161405,127.539066,147.810793,171.5367991,169.0036069,163.1636814,2
13.94589937,170.6127005,103.3828492,148.2847269,171.1055488,177.1488319,152.3169272,169.1499733,2
166.8716808,47.07620151,142.62114,89.9940926,178.6180159,163.7071342,113.1165672,104.3955548,2
106.9688663,113.9221256,7.765242416,11.02792807,172.1196986,162.4609427,176.3890028,174.1707339,3
151.7221548,157.1614403,3.720279958,8.226486414,172.0624714,157.2352872,177.7071777,179.2287783,3
106.9977913,96.2932455,17.16474278,11.80411033,153.0735204,178.8829446,170.6682328,179.9326201,3
